objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Scythe: The Wind Gambit","223555","8","","0","1","0","0","0","0","0","0","0","3","","","","","","90384129","7.24766","7.84633","3.3857","0","26526","thing","Scythe: The Wind Gambit","1","7","140","140","70","2017","1,2,3,4,5,6,7","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","2022-01-22","Michael Green","1","","","","","","",""
"SeaFall","148261","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","77522572","5.90807","6.22218","3.7778","3210","9403","thing","SeaFall","3","5","180","180","120","2016","3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","12","USD","80","USD","2020-12-24","","1","","","","","","",""
"The Search for Planet X","279537","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","89274266","7.49946","8.05814","2.358","112","13417","thing","The Search for Planet X","1","4","60","60","60","2020","1,2,3,4","2,3","12+","Unplayable in another language","","","","","","standalone","","","","","","","Joey Khan","1","","","","","","",""
"Secret Hitler","188834","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","73938308","7.28149","7.52872","1.6754","210","33138","thing","Secret Hitler","5","10","45","45","45","2016","6,7,8,9,10","8,10","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sequence","2375","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73956216","5.89874","6.07904","1.327","3267","19363","thing","Sequence","2","12","30","30","10","1982","2,3,4,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadow Hunters","24068","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73938298","6.53445","6.82171","1.8197","1057","9094","thing","Shadow Hunters","4","8","60","60","60","2005","5,6,7,8","7,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"SHH","164158","5","1","0","1","0","0","0","0","0","0","0","3","","","","","","73956369","5.71752","6.39024","1.4737","5010","1900","thing","SHH","2","4","10","10","10","2015","2,3,4","3","8","","","","","","","standalone","","","","","","","","","","","","","","",""
"SPY","195456","4","","0","1","0","0","0","0","0","0","0","3","","","","","","73956364","5.54301","5.78064","1.7143","11677","1949","thing","SPY","2","4","10","10","10","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Square Shooters","46957","4","","0","1","0","0","0","0","0","0","0","3","","","","","","73956383","5.51136","5.70721","1.3158","17258","753","thing","Square Shooters","2","6","15","15","15","2010","2,3,4,6","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Realms","147020","0","","0","1","0","0","0","0","0","0","0","3","","I have the digital edition, but haven't played it yet","","","","73957332","7.43119","7.5708","1.9334","136","60303","thing","Star Realms","2","2","20","20","20","2014","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go Party!","192291","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","73936576","7.26511","7.42406","1.3034","227","52661","thing","Sushi Go Party!","2","8","20","20","20","2016","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Taboo","1111","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73956208","6.12907","6.29468","1.21","2132","21169","thing","Taboo","4","10","20","20","20","1989","4,5,6,7,8,9,10","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Talisman: Revised 4th Edition","27627","0","","0","1","0","0","0","0","0","0","0","3","","I have the digital edition","","","","73964065","6.25544","6.51537","2.1801","1700","22437","thing","Talisman: Revised 4th Edition","2","6","90","90","90","2007","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tapestry","286096","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","87960786","7.2071","7.44423","2.9094","255","23146","thing","Tapestry","1","5","120","120","90","2019","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","25","USD","100","USD","2021-11-26","The Adventure Begins","1","","","","","","",""
"Terra Mystica","120677","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","73957233","7.94135","8.10075","3.9703","23","48326","thing","Terra Mystica","2","5","150","150","60","2012","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","2020-12-19","Gift (Ryan Beery)","1","","","","","","",""
"Through the Ages: A New Story of Civilization","182028","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","73936459","8.11334","8.3424","4.4209","12","32587","thing","Through the Ages: A New Story of Civilization","2","4","120","120","120","2015","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Throw Throw Burrito","274533","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936416","5.99351","6.4679","1.0889","2710","9512","thing","Throw Throw Burrito","2","6","15","15","15","2019","3,4,5,6","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride","9209","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936182","7.29242","7.40365","1.8389","203","114323","thing","Ticket to Ride","2","5","60","60","30","2004","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride Map Collection: Volume 1 – Team Asia & Legendary Asia","106637","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936196","7.10796","7.66342","1.9657","0","13844","thing","Ticket to Ride Map Collection: Volume 1 – Team Asia & Legendary Asia","2","6","60","60","30","2011","2,3,4,5,6","4,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Ticket to Ride Map Collection: Volume 3 – The Heart of Africa","131188","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","73936205","6.65135","7.39137","2.04","0","8908","thing","Ticket to Ride Map Collection: Volume 3 – The Heart of Africa","2","5","60","60","30","2012","2,3,4,5","4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
